ID,Total events AG (cycle_pals),Total events AP (cycle_activPal),Events both identified,Events AP identified but not AG,Events AG identified but not AP,Total cycling time AG (s),Total cycling time AP (s)
10001,1,0,0,0,1,360.0,0.0
10002,0,0,0,0,0,0.0,0.0
10003,0,0,0,0,0,0.0,0.0
10005,2,0,0,0,2,1200.0,0.0
10007,0,0,0,0,0,30.0,0.0
10010,3,0,0,0,3,840.0,0.0
10011,0,1,0,1,0,0.0,198.0
10014,0,0,0,0,0,0.0,0.0
10017,4,18,1,17,3,1560.0,2744.0
10020,1,0,0,0,1,210.0,0.0
10022,1,0,0,0,1,240.0,0.0
10024,1,0,0,0,1,300.0,0.0
10027,4,8,2,6,2,1530.0,1780.0
10033,0,2,0,2,0,0.0,482.0
10036,8,0,0,0,8,2910.0,0.0
10037,0,12,0,12,0,0.0,2812.0
10046,0,0,0,0,0,0.0,0.0
10050,11,20,9,11,2,10320.0,4794.0
10051,7,0,0,0,7,16260.0,0.0
10054,1,1,0,1,1,120.0,170.0
10059,3,0,0,0,3,840.0,0.0
10061,0,4,0,4,0,0.0,772.0
10071,2,0,0,0,2,390.0,0.0
10072,2,35,0,35,2,1080.0,10323.0
10073,0,0,0,0,0,0.0,0.0
10074,0,0,0,0,0,0.0,0.0
10079,8,0,0,0,8,5850.0,0.0
10083,3,1,0,1,3,630.0,105.0
10084,1,0,0,0,1,120.0,132.0
10085,3,7,2,5,1,15150.0,13602.0
10086,0,0,0,0,0,90.0,67.0
10087,0,0,0,0,0,0.0,0.0
10088,0,0,0,0,0,0.0,0.0
10090,0,3,0,3,0,0.0,866.0
10091,2,0,0,0,2,270.0,0.0
10094,5,5,0,5,5,2100.0,13247.0
10097,0,4,0,4,0,60.0,528.0
10099,0,0,0,0,0,0.0,0.0
10101,3,6,0,6,3,660.0,828.0
10103,2,0,0,0,2,840.0,0.0
10105,0,0,0,0,0,0.0,0.0
10106,3,0,0,0,3,750.0,0.0
10107,2,0,0,0,2,1470.0,0.0
10109,2,0,0,0,2,810.0,0.0
10110,1,0,0,0,1,300.0,0.0
10115,12,11,9,2,3,4140.0,1883.0
10117,6,0,0,0,6,3420.0,0.0
10118,0,0,0,0,0,0.0,0.0
10121,1,0,0,0,1,330.0,68.0
10122,5,13,3,10,2,5010.0,2764.0
10124,6,7,4,3,2,3330.0,2244.0
10125,10,0,0,0,10,5250.0,0.0
10128,3,2,2,0,1,1380.0,857.0
10130,0,0,0,0,0,0.0,0.0
10132,3,0,0,0,3,570.0,0.0
10134,3,29,0,29,3,990.0,5130.0
10135,1,0,0,0,1,180.0,0.0
10139,1,0,0,0,1,120.0,0.0
10141,1,4,0,4,1,180.0,706.0
10146,2,0,0,0,2,450.0,0.0
10153,5,0,0,0,5,1710.0,0.0
10154,0,3,0,3,0,0.0,1340.0
10157,0,0,0,0,0,0.0,0.0
10161,0,0,0,0,0,0.0,0.0
10166,1,0,0,0,1,180.0,0.0
10171,0,0,0,0,0,0.0,0.0
10173,23,19,12,7,11,29790.0,8058.0
10175,1,0,0,0,1,180.0,0.0
10179,1,0,0,0,1,150.0,0.0
10196,0,2,0,2,0,30.0,2586.0
10220,4,9,3,6,1,750.0,12162.0
10223,0,3,0,3,0,60.0,333.0
10226,0,0,0,0,0,0.0,0.0
10227,12,0,0,0,12,14340.0,0.0
10228,1,14,0,14,1,120.0,5577.0
10230,7,0,0,0,7,1290.0,0.0
10232,3,0,0,0,3,660.0,0.0
10239,2,4,0,4,2,390.0,677.0
